ai0                 	ai1                 	ao0                 
0.0000              	-0.0003             	0.0000              
0.0003              	-0.0003             	0.0000              
0.0003              	-0.0003             	0.0000              
0.0000              	-0.0006             	0.0000              
0.0000              	-0.0006             	0.0000              
-0.0003             	-0.0003             	0.0000              
0.0003              	-0.0006             	0.0000              
0.0003              	-0.0003             	0.0000              
0.0003              	-0.0003             	0.0000              
0.0000              	-0.0003             	0.0000              
0.0003              	1.0003              	1.0000              
0.0000              	1.0000              	1.0000              
0.0003              	0.9996              	1.0000              
0.0000              	0.9996              	1.0000              
0.0003              	0.9996              	1.0000              
0.0003              	1.0003              	1.0000              
0.0003              	0.9996              	1.0000              
0.0000              	0.9996              	1.0000              
0.0003              	0.9996              	1.0000              
0.0000              	1.0000              	1.0000              
0.0003              	2.0002              	2.0000              
-0.0003             	1.9999              	2.0000              
0.0003              	1.9999              	2.0000              
0.0000              	1.9999              	2.0000              
0.0003              	2.0002              	2.0000              
0.0000              	2.0002              	2.0000              
0.0003              	2.0002              	2.0000              
0.0000              	1.9999              	2.0000              
-0.0003             	2.0005              	2.0000              
0.0000              	1.9999              	2.0000              
0.0003              	3.0002              	3.0000              
0.0000              	3.0005              	3.0000              
0.0000              	3.0002              	3.0000              
0.0003              	3.0002              	3.0000              
0.0003              	3.0002              	3.0000              
0.0000              	3.0005              	3.0000              
0.0000              	3.0005              	3.0000              
0.0000              	3.0002              	3.0000              
0.0000              	3.0002              	3.0000              
0.0003              	3.0002              	3.0000              
0.0003              	4.0001              	4.0000              
0.0003              	4.0004              	4.0000              
0.0000              	3.9998              	4.0000              
0.0003              	4.0004              	4.0000              
0.0000              	4.0004              	4.0000              
-0.0003             	3.9998              	4.0000              
0.0003              	4.0004              	4.0000              
0.0003              	4.0001              	4.0000              
0.0003              	4.0004              	4.0000              
0.0000              	3.9998              	4.0000              
